SOURCE	TARGET
AT1G03600.1	NaN
AT1G02560.1	AT5G45390.1
AT1G02560.1	AT1G49970.1
AT1G02560.1	AT4G12060.1
AT1G65930.1	AT5G18940.1
AT1G65930.1	AT1G47840.1
AT1G65930.1	AT3G11050.1
AT1G65930.1	AT4G04460.1
AT3G43670.1	AT4G04460.1
AT5G47110.1	AT1G74470.1
AT5G42070.1	AT1G44446.1
AT1G17050.1	AT1G74470.1
AT4G01900.1	AT5G15530.1
AT4G20400.1	AT3G52300.1
AT2G20260.1	AT3G21055.1
AT2G20260.1	AT3G47470.1
AT5G50460.1	AT5G42020.1
ATCG00680.1	ATCG00500.1
ATCG00680.1	ATCG00730.1
AT1G04620.1	AT3G44880.1
AT1G04620.1	AT5G04900.1
AT1G04620.1	AT3G51820.1
AT1G04620.1	AT4G37000.1
ATCG00730.1	AT4G32470.1
ATCG00730.1	ATCG00680.1
AT1G14030.1	NaN
AT3G47470.1	AT2G20260.1
AT5G16230.1	NaN
AT2G44650.1	AT3G52300.1
AT2G44650.1	AT2G28000.1
AT1G74030.1	AT5G13420.1
AT1G74030.1	AT4G24620.1
AT3G11050.1	AT5G18940.1
AT3G11050.1	AT1G47840.1
AT3G11050.1	AT1G13340.1
AT3G11050.1	AT4G04460.1
AT3G11050.1	AT1G65930.1
AT3G02610.1	NaN
ATCG00500.1	AT4G16800.1
ATCG00500.1	AT5G15530.1
ATCG00500.1	ATCG00680.1
ATCG00500.1	AT1G60550.1
AT4G17040.1	AT5G50920.1
AT4G17040.1	AT4G12060.1
AT4G17600.1	AT1G74470.1
AT2G23350.1	AT2G39260.1
AT2G23350.1	AT4G34110.1
AT2G39260.1	AT2G23350.1
AT2G39260.1	AT4G34110.1
AT5G42020.1	AT5G50460.1
AT4G13050.1	NaN
AT2G28000.1	AT2G44650.1
AT4G04460.1	AT5G18940.1
AT4G04460.1	AT1G47840.1
AT4G04460.1	AT3G11050.1
AT4G04460.1	AT1G65930.1
AT4G04460.1	AT3G43670.1
AT4G16800.1	ATCG00500.1
AT4G37000.1	AT1G04620.1
AT4G37000.1	AT3G44880.1
AT4G37000.1	AT5G04900.1
AT1G60550.1	ATCG00500.1
AT1G64190.1	AT5G13420.1
AT1G04420.1	NaN
AT3G08010.1	NaN
AT1G74470.1	AT4G17600.1
AT1G74470.1	AT1G17050.1
AT1G74470.1	AT3G51820.1
AT1G74470.1	AT5G47110.1
AT3G44880.1	AT1G04620.1
AT3G44880.1	AT4G37000.1
AT4G32915.1	AT1G64355.1
AT3G63040.1	AT5G27200.1
AT1G74280.1	NaN
AT1G13340.1	AT3G11050.1
AT3G52300.1	AT5G08300.1
AT3G52300.1	AT2G44650.1
AT3G52300.1	AT4G32470.1
AT3G52300.1	AT2G02050.1
AT3G52300.1	AT1G51650.1
AT3G52300.1	AT4G20400.1
AT1G43800.1	NaN
AT5G13010.1	AT1G27595.1
AT5G13010.1	AT3G53500.2
AT5G15530.1	ATCG00500.1
AT5G15530.1	AT4G01900.1
AT3G51820.1	AT1G74470.1
AT3G51820.1	AT5G18660.1
AT3G51820.1	AT1G44446.1
AT3G51820.1	AT1G04620.1
AT3G51820.1	AT5G04900.1
AT3G21055.1	AT2G20260.1
AT1G06950.1	AT5G50920.1
AT5G45390.1	AT1G49970.1
AT5G45390.1	AT1G02560.1
AT5G45390.1	AT4G12060.1
AT1G44446.1	AT5G18660.1
AT1G44446.1	AT5G42070.1
AT1G44446.1	AT5G04900.1
AT1G44446.1	AT3G51820.1
AT1G27595.1	AT5G13010.1
AT1G27595.1	AT3G53500.2
AT5G18940.1	AT1G47840.1
AT5G18940.1	AT4G04460.1
AT5G18940.1	AT1G65930.1
AT5G18940.1	AT3G11050.1
AT5G50920.1	AT4G17040.1
AT5G50920.1	AT1G06950.1
AT2G02050.1	AT1G51650.1
AT2G02050.1	AT5G27200.1
AT2G02050.1	AT3G52300.1
AT2G02050.1	AT4G32470.1
AT1G03680.1	NaN
ATCG00160.1	NaN
AT3G53500.2	AT1G27595.1
AT3G53500.2	AT5G13010.1
AT1G64355.1	AT4G32915.1
AT1G49970.1	AT5G45390.1
AT1G49970.1	AT1G02560.1
AT1G49970.1	AT4G12060.1
AT4G12060.1	AT4G17040.1
AT4G12060.1	AT5G45390.1
AT4G12060.1	AT1G49970.1
AT4G12060.1	AT1G02560.1
AT5G19940.1	NaN
AT5G08300.1	AT3G52300.1
AT1G47840.1	AT5G18940.1
AT1G47840.1	AT3G11050.1
AT1G47840.1	AT4G04460.1
AT1G47840.1	AT1G65930.1
AT1G47840.1	AT4G24620.1
AT5G27200.1	AT2G02050.1
AT5G27200.1	AT3G63040.1
AT5G04900.1	AT1G44446.1
AT5G04900.1	AT1G04620.1
AT5G04900.1	AT3G51820.1
AT5G04900.1	AT4G37000.1
AT4G24620.1	AT1G74030.1
AT4G24620.1	AT1G47840.1
AT4G24620.1	AT5G13420.1
AT5G18660.1	AT1G44446.1
AT5G18660.1	AT3G51820.1
AT5G13420.1	AT1G74030.1
AT5G13420.1	AT4G24620.1
AT5G13420.1	AT1G64190.1
AT3G02630.1	NaN
AT4G32470.1	ATCG00730.1
AT4G32470.1	AT1G51650.1
AT4G32470.1	AT3G52300.1
AT4G32470.1	AT2G02050.1
AT1G51650.1	AT3G52300.1
AT1G51650.1	AT4G32470.1
AT1G51650.1	AT2G02050.1
AT4G34110.1	AT2G23350.1
AT4G34110.1	AT2G39260.1
