SOURCE	TARGET
AT5G62880.1	AT3G63150.1
AT5G62880.1	AT2G46710.1
AT5G62880.1	AT1G62450.1
AT5G62880.1	AT5G09550.1
AT3G12740.1	AT3G08790.1
AT3G12740.1	AT5G04930.1
AT3G12740.1	AT1G44170.2
AT3G12740.1	AT3G60600.1
AT3G12740.1	AT1G69450.2
AT3G12740.1	AT5G62680.1
AT3G12740.1	AT1G69870.1
AT3G12740.1	AT4G04340.3
AT3G12740.1	AT1G08700.1
AT3G12740.1	AT3G48890.1
AT3G12740.1	AT5G47910.1
AT3G12740.1	AT3G16180.1
AT3G12740.1	AT5G22860.1
AT3G12740.1	AT1G59820.1
AT3G12740.1	AT5G28470.1
AT3G12740.1	AT1G52190.1
AT3G12740.1	AT5G47180.2
AT3G12740.1	AT3G47960.1
AT1G16430.1	AT4G04780.1
AT2G36880.2	AT5G20980.2
AT2G36880.2	AT1G64660.1
AT5G23120.1	NaN
AT1G48300.1	AT3G51520.1
AT1G78630.1	AT3G25480.1
AT1G78630.1	AT3G63490.1
AT1G78630.1	AT5G39850.1
AT1G78630.1	AT5G54600.1
AT1G78630.1	AT3G15190.1
AT1G78630.1	AT3G04840.1
AT1G78630.1	AT1G74970.1
AT1G78630.1	AT5G40950.1
AT1G78630.1	AT4G01310.1
AT1G78630.1	AT3G47860.1
AT3G45300.1	AT4G36400.2
AT3G45300.1	AT5G48230.2
AT3G45300.1	AT5G47720.4
AT3G17790.1	AT4G35000.1
AT1G32220.1	NaN
AT3G04080.1	AT2G38280.2
AT3G04080.1	AT3G57610.1
AT5G04600.1	AT3G13640.1
AT5G04600.1	AT1G20810.1
AT5G04600.1	AT2G39820.1
AT5G04600.1	AT5G62190.1
AT5G04600.1	AT3G06480.1
AT5G04600.1	AT5G47860.1
AT5G04600.1	AT3G10060.1
AT5G04600.1	AT3G12345.1
AT5G04600.1	AT4G25730.1
AT3G01440.1	AT1G19150.1
AT5G16830.1	AT4G32150.1
AT5G16830.1	AT1G51740.1
AT5G27630.1	AT2G23390.1
AT3G63150.1	AT5G62880.1
AT3G63150.1	AT1G62450.1
AT3G63150.1	AT5G09550.1
AT5G57655.2	AT4G10260.1
AT5G57655.2	AT3G59480.1
AT5G57655.2	AT2G19860.1
AT3G28715.1	AT4G25950.1
AT3G28715.1	AT5G42320.1
AT3G28715.1	AT3G08560.1
AT3G28715.1	AT1G76030.1
AT5G11980.1	NaN
AT5G13380.1	AT1G11910.1
AT5G13380.1	AT5G61580.1
AT5G13380.1	AT1G78050.1
AT5G13380.1	AT2G21130.1
AT5G13380.1	AT2G19860.1
AT5G13380.1	AT4G23895.3
AT5G13380.1	AT2G26390.1
AT5G13380.1	AT4G26390.1
AT5G13380.1	AT1G55020.1
AT5G13380.1	AT1G04970.1
AT5G13380.1	AT3G52930.1
AT5G13380.1	AT1G28130.1
AT5G13380.1	AT1G04710.1
AT5G13380.1	AT5G09550.1
AT5G13380.1	AT4G11010.1
AT5G13380.1	AT2G38280.2
AT5G36880.2	AT1G44170.2
AT5G36880.2	AT1G23800.1
AT5G36880.2	AT5G48230.2
AT5G36880.2	AT3G06810.1
AT5G36880.2	AT4G37870.1
AT5G36880.2	AT1G04710.1
AT5G36880.2	AT5G47720.4
AT3G15190.1	AT1G78630.1
AT3G15190.1	AT5G40950.1
AT3G15190.1	AT5G54600.1
AT3G15190.1	AT1G74970.1
AT3G15190.1	AT4G01310.1
AT2G40110.1	AT1G66400.1
AT2G40110.1	AT2G21130.1
AT2G40110.1	AT4G23895.3
AT2G40110.1	AT2G26390.1
AT2G40110.1	AT4G26390.1
AT2G40110.1	AT2G41410.1
AT2G40110.1	AT2G38280.2
AT2G40110.1	AT1G55020.1
AT2G40110.1	AT5G10270.1
AT2G40110.1	AT5G61580.1
AT2G40110.1	AT5G01600.1
AT2G40110.1	AT3G52930.1
AT2G40110.1	AT1G02305.1
AT2G40110.1	AT1G24620.1
AT2G40110.1	AT4G11010.1
AT2G40110.1	AT1G73630.1
AT2G40110.1	AT1G11910.1
AT2G40110.1	AT1G78050.1
AT2G40110.1	AT2G19860.1
AT2G40110.1	AT5G53940.1
AT3G01790.2	AT4G37660.1
AT3G01790.2	AT1G74970.1
AT3G01790.2	AT3G63490.1
AT3G01790.2	AT5G40950.1
AT3G01790.2	AT5G39850.1
AT3G01790.2	AT5G54600.1
AT3G01790.2	AT4G01310.1
AT3G01790.2	AT3G04840.1
AT2G33845.1	NaN
AT2G02390.3	NaN
AT5G27000.1	AT5G23910.1
AT5G27000.1	AT4G21270.1
AT5G27000.1	AT3G44050.1
AT4G23895.3	AT1G66400.1
AT4G23895.3	AT2G21130.1
AT4G23895.3	AT2G26390.1
AT4G23895.3	AT4G26390.1
AT4G23895.3	AT1G28130.1
AT4G23895.3	AT2G41410.1
AT4G23895.3	AT2G38280.2
AT4G23895.3	AT5G13380.1
AT4G23895.3	AT1G55020.1
AT4G23895.3	AT5G10270.1
AT4G23895.3	AT5G61580.1
AT4G23895.3	AT5G01600.1
AT4G23895.3	AT3G52930.1
AT4G23895.3	AT1G02305.1
AT4G23895.3	AT1G24620.1
AT4G23895.3	AT4G11010.1
AT4G23895.3	AT1G73630.1
AT4G23895.3	AT1G11910.1
AT4G23895.3	AT2G40110.1
AT4G23895.3	AT1G78050.1
AT4G23895.3	AT2G19860.1
AT4G23895.3	AT5G53940.1
AT4G23895.3	AT5G09550.1
AT3G48930.1	AT5G09500.1
AT3G48930.1	AT5G40040.1
AT3G48930.1	AT1G22760.1
AT3G48930.1	AT3G12915.1
AT3G48930.1	AT1G74970.1
AT3G48930.1	AT3G02190.1
AT3G48930.1	AT5G39850.1
AT3G48930.1	AT5G54600.1
AT3G48930.1	AT5G48760.2
AT3G48930.1	AT3G61110.1
AT3G48930.1	AT3G04840.1
AT5G03160.1	AT2G26390.1
AT5G03160.1	AT5G12380.1
AT5G03160.1	AT2G38760.1
AT5G03160.1	AT4G35730.1
AT5G03160.1	AT1G35720.1
AT5G03160.1	AT5G01600.1
AT5G03160.1	AT1G04970.1
AT5G03160.1	AT1G17100.1
AT5G03160.1	AT5G09550.1
AT1G24620.1	AT1G66400.1
AT1G24620.1	AT2G21130.1
AT1G24620.1	AT4G23895.3
AT1G24620.1	AT2G26390.1
AT1G24620.1	AT4G26390.1
AT1G24620.1	AT2G41410.1
AT1G24620.1	AT2G38280.2
AT1G24620.1	AT1G55020.1
