SOURCE	TARGET
AT4G26760.1	AT5G37630.1
AT4G26760.1	AT2G32590.1
AT1G11240.1	AT2G34570.1
AT1G11240.1	AT1G23280.1
AT1G11240.1	AT5G08180.2
AT1G11240.1	AT5G30495.2
AT1G11240.1	AT4G16630.1
AT1G11240.1	AT3G15460.1
AT1G11240.1	AT5G20600.1
AT1G11240.1	AT5G06360.1
AT1G11240.1	AT2G18220.1
AT1G11240.1	AT5G14520.1
AT1G11240.1	AT4G01560.1
AT1G11240.1	AT3G23620.1
AT1G11240.1	AT1G52930.1
AT2G19430.1	AT3G49180.1
AT4G13250.1	AT5G43860.1
AT5G39800.1	ATCG00760.1
AT5G39800.1	AT3G03600.1
AT3G24800.1	AT3G11240.1
AT3G24800.1	AT3G52590.1
AT1G60950.1	NaN
AT4G34555.1	AT1G77940.1
AT4G34555.1	AT1G17880.1
AT4G34555.1	AT2G05220.2
AT4G34555.1	AT3G52590.1
AT4G34555.1	AT1G29965.1
AT4G34555.1	AT3G11250.1
AT4G34555.1	AT1G72730.1
AT4G34555.1	AT5G06360.1
AT4G34555.1	AT1G77750.1
AT4G34555.1	AT3G28500.1
AT4G34555.1	AT3G60240.4
AT4G34555.1	AT2G34520.1
AT4G34555.1	AT2G18020.1
AT4G34555.1	AT3G03600.1
AT4G34555.1	AT1G52300.1
AT4G34555.1	AT4G28360.1
AT4G34555.1	AT3G16780.1
AT4G34555.1	AT1G80620.1
AT4G34555.1	AT5G56670.1
AT4G34555.1	AT3G10610.1
AT4G34555.1	AT1G54270.1
AT4G34555.1	AT3G05560.3
AT4G34555.1	AT4G09800.1
AT5G51940.1	AT3G10400.1
AT5G51940.1	AT4G38780.1
AT5G51940.1	AT4G07950.1
AT5G51940.1	AT3G15460.1
AT5G51940.1	AT4G15950.1
AT5G51940.1	AT5G59180.1
AT5G51940.1	AT3G23620.1
AT5G51940.1	AT1G52930.1
AT5G51940.1	AT2G30260.1
AT5G51940.1	AT2G04630.1
AT5G51940.1	AT5G08180.2
AT5G51940.1	AT5G61000.1
AT5G51940.1	AT3G52120.1
AT5G51940.1	AT1G66750.1
