SOURCE	TARGET
AT4G30330.1	AT4G29820.1
AT4G30330.1	AT2G18740.1
AT4G30330.1	AT4G16680.1
AT4G30330.1	AT3G16650.1
AT4G26230.1	AT1G13950.1
AT4G26230.1	AT5G09490.1
AT4G26230.1	ATCG00780.1
AT4G26230.1	AT1G15310.1
AT4G26230.1	AT1G76720.1
AT4G26230.1	AT3G16640.1
AT1G16720.1	NaN
AT4G02620.1	AT2G33220.1
AT4G02620.1	AT2G28520.1
AT3G60370.1	NaN
AT4G12290.1	AT5G34940.2
AT4G12290.1	AT3G08947.1
AT4G12290.1	AT1G59500.1
ATCG00420.1	AT2G33220.1
ATCG00420.1	AT3G52730.1
ATCG00420.1	ATCG01090.1
ATCG00420.1	AT2G33040.1
ATCG00420.1	ATCG01250.1
ATCG00420.1	AT3G60150.1
AT1G70660.1	AT1G63800.1
AT1G70660.1	AT1G49040.1
AT1G70660.1	AT3G46460.1
AT1G70660.1	AT3G48430.1
AT1G70660.1	AT3G21850.1
AT1G70660.1	AT5G03200.1
AT1G70660.1	AT5G56150.1
AT1G70660.1	AT2G28720.1
AT3G18820.1	AT2G38020.1
AT3G18820.1	AT4G19640.1
AT3G18820.1	AT1G09630.1
AT3G18820.1	AT2G44610.1
AT3G18820.1	AT5G59840.1
AT3G18820.1	AT1G49300.2
AT3G18820.1	AT4G35860.1
AT1G75220.1	AT1G47830.1
AT1G19450.1	AT1G47830.1
AT2G18740.1	AT4G29820.1
AT2G18740.1	AT4G30330.1
AT2G18740.1	AT4G16680.1
AT2G18740.1	AT3G16650.1
AT3G46460.1	AT1G63800.1
AT3G46460.1	AT1G49040.1
AT3G46460.1	AT5G56150.1
AT3G46460.1	AT1G70660.1
AT3G46460.1	AT3G21850.1
AT3G46460.1	AT5G03200.1
AT1G79870.1	AT3G25530.1
AT3G08580.2	NaN
AT3G01420.1	AT3G45140.1
AT5G21430.1	NaN
AT1G47830.1	AT1G75220.1
AT1G47830.1	AT1G19450.1
AT1G47830.1	AT5G27350.1
AT4G17560.1	AT4G29060.1
AT5G34940.2	AT3G08947.1
AT5G34940.2	AT4G12290.1
AT5G34940.2	AT1G59500.1
AT5G17520.1	AT4G09020.1
AT2G33220.1	AT3G52730.1
AT2G33220.1	ATCG00420.1
AT2G33220.1	AT4G02620.1
AT2G33220.1	ATCG01090.1
AT2G33220.1	AT2G33040.1
AT1G62020.1	AT2G03290.1
AT1G62020.1	AT4G17890.1
AT1G62020.1	AT1G60970.1
AT1G62020.1	AT4G34450.1
AT1G53580.1	AT1G62180.1
AT3G24500.1	NaN
AT1G09330.1	AT2G28520.1
AT4G35860.1	AT4G19640.1
AT4G35860.1	AT2G44610.1
AT4G35860.1	AT5G59840.1
AT4G35860.1	AT1G09630.1
AT4G35860.1	AT3G18820.1
AT4G35860.1	AT1G49300.2
AT4G16680.1	AT4G29820.1
AT4G16680.1	AT4G30330.1
AT4G16680.1	AT2G18740.1
AT4G16680.1	AT3G16650.1
AT1G04580.1	NaN
ATCG00780.1	AT5G09490.1
ATCG00780.1	AT4G26230.1
AT3G48430.1	AT1G70660.1
AT3G48430.1	AT2G28720.1
AT3G01400.1	AT3G08947.1
AT1G56500.1	AT5G63910.1
AT1G56500.1	AT2G14540.1
AT1G56500.1	AT2G36460.1
AT5G63910.1	AT2G14540.1
AT5G63910.1	AT2G36460.1
AT5G63910.1	AT1G56500.1
AT4G14455.1	NaN
AT3G22110.1	AT1G09100.1
AT3G22110.1	AT5G56150.1
AT3G22110.1	AT2G05840.1
AT3G22110.1	AT2G42880.1
AT3G22110.1	AT2G32950.1
AT3G22110.1	AT2G35635.1
AT3G08947.1	AT2G36460.1
AT3G08947.1	AT4G12290.1
AT3G08947.1	AT1G54340.1
AT3G08947.1	AT2G14540.1
AT3G08947.1	AT3G01400.1
AT3G08947.1	AT1G09100.1
AT3G08947.1	AT5G34940.2
AT3G08947.1	AT1G59500.1
AT3G08947.1	AT1G23190.1
AT3G08947.1	AT3G45140.1
AT3G63410.1	NaN
AT2G45140.1	AT4G19640.1
AT2G45140.1	AT2G29900.1
AT2G45140.1	AT1G54320.1
AT2G45140.1	AT5G67560.1
AT2G45140.1	AT3G49870.1
AT5G46040.1	AT2G02040.1
AT5G46040.1	AT1G54320.1
AT5G24410.1	NaN
AT5G10220.1	AT2G14540.1
AT5G10220.1	AT4G34490.1
AT5G10220.1	AT5G04170.1
AT5G10220.1	AT5G12250.1
AT1G49040.1	AT1G63800.1
AT1G49040.1	AT3G21850.1
AT1G49040.1	AT3G46460.1
AT1G49040.1	AT1G70660.1
AT1G49040.1	AT5G03200.1
AT1G49040.1	AT5G56150.1
AT2G20560.1	NaN
AT5G56150.1	AT1G63800.1
AT5G56150.1	AT1G49040.1
AT5G56150.1	AT1G09100.1
AT5G56150.1	AT2G05840.1
AT5G56150.1	AT3G22110.1
AT5G56150.1	AT3G46460.1
AT5G56150.1	AT1G70660.1
AT5G56150.1	AT3G21850.1
AT5G56150.1	AT5G03200.1
AT5G59840.1	AT4G19640.1
AT5G59840.1	AT1G09630.1
AT5G59840.1	AT2G44610.1
AT5G59840.1	AT3G18820.1
AT5G59840.1	AT1G49300.2
AT5G59840.1	AT4G35860.1
AT1G49300.2	AT4G19640.1
AT1G49300.2	AT1G09630.1
AT1G49300.2	AT2G44610.1
AT1G49300.2	AT3G18820.1
AT1G49300.2	AT5G59840.1
AT1G49300.2	AT4G35860.1
AT1G09100.1	AT1G80050.1
AT1G09100.1	AT2G14540.1
AT1G09100.1	AT3G08947.1
AT1G09100.1	AT1G59500.1
AT1G09100.1	AT5G56150.1
AT1G09100.1	AT2G05840.1
AT1G09100.1	AT1G23190.1
AT1G09100.1	AT3G22110.1
AT1G09100.1	AT2G36460.1
AT1G09100.1	AT1G54340.1
AT1G09100.1	AT2G42880.1
