SOURCE	TARGET
AT1G04410.1	AT5G51820.1
AT3G02730.1	AT2G21330.1
AT3G02730.1	AT1G54780.1
AT5G11040.1	AT4G17530.1
AT5G11040.1	AT5G05760.1
AT1G54780.1	AT2G36145.1
AT1G54780.1	AT1G42970.1
AT1G54780.1	AT3G08940.2
AT1G54780.1	AT1G30380.1
AT1G54780.1	AT5G45680.1
AT1G54780.1	AT1G31330.1
AT1G54780.1	AT5G43750.1
AT1G54780.1	AT2G40100.1
AT1G54780.1	AT1G75690.1
AT1G54780.1	AT4G04640.1
AT1G54780.1	AT5G08050.1
AT1G54780.1	AT1G32470.1
AT1G54780.1	AT3G02730.1
AT1G54780.1	AT1G23740.1
AT1G54780.1	AT4G01150.1
AT1G54780.1	AT2G05310.1
AT1G54780.1	AT4G02770.1
AT1G54780.1	AT2G27680.1
AT1G54780.1	AT3G26650.1
AT1G54780.1	AT2G21280.1
AT1G54780.1	AT4G09650.1
AT1G54780.1	AT1G55480.1
AT1G54780.1	AT5G23060.1
AT1G54780.1	AT3G46780.1
AT1G54780.1	AT3G12780.1
AT1G54780.1	AT5G22800.1
AT1G54780.1	AT1G51400.1
AT1G54780.1	AT5G17170.1
AT1G54780.1	AT5G66570.1
AT1G54780.1	AT4G01050.1
AT1G54780.1	AT1G55670.1
AT1G54780.1	AT3G56940.1
AT1G54780.1	AT3G01480.1
AT1G54780.1	AT1G76100.1
AT1G54780.1	AT1G20340.1
AT1G54780.1	AT5G01530.1
AT1G54780.1	AT3G50820.1
AT1G54780.1	AT1G06680.1
AT1G54780.1	AT2G39730.1
AT1G54780.1	AT1G03130.1
AT1G54780.1	AT3G55800.1
AT1G54780.1	AT1G32060.1
AT1G54780.1	AT2G35370.1
AT1G54780.1	AT4G02530.1
AT1G54780.1	AT5G16400.1
AT1G54780.1	AT1G15820.1
AT1G54780.1	AT1G09340.1
AT1G54780.1	AT3G18890.1
AT1G54780.1	AT3G63140.1
AT4G04640.1	AT1G42970.1
AT4G04640.1	ATCG00120.1
AT4G04640.1	AT1G31330.1
AT4G04640.1	ATCG00130.1
AT4G04640.1	AT1G23740.1
AT4G04640.1	AT4G02770.1
AT4G04640.1	AT2G27680.1
