SOURCE	TARGET
AT1G04410.1	AT5G14760.1
AT1G04410.1	AT1G74030.1
AT1G04410.1	AT5G51820.1
AT3G12740.1	AT2G45140.1
AT3G12740.1	AT3G08790.1
AT3G12740.1	AT5G04930.1
AT3G12740.1	AT1G44170.2
AT3G12740.1	AT4G19640.1
AT3G12740.1	AT3G60600.1
AT3G12740.1	AT1G69450.2
AT3G12740.1	AT3G21670.1
AT3G12740.1	AT5G62680.1
AT3G12740.1	AT1G69870.1
AT3G12740.1	AT4G04340.3
AT3G12740.1	AT1G08700.1
AT3G12740.1	AT2G02040.1
AT3G12740.1	AT3G48890.1
AT3G12740.1	AT5G47910.1
AT3G12740.1	AT3G16180.1
AT3G12740.1	AT5G46040.1
AT3G12740.1	AT2G29900.1
AT3G12740.1	AT5G22860.1
AT3G12740.1	AT1G59820.1
AT3G12740.1	AT5G28470.1
AT3G12740.1	AT1G54320.1
AT3G12740.1	AT5G67560.1
AT3G12740.1	AT1G10090.1
AT3G12740.1	AT1G52190.1
AT3G12740.1	AT3G49870.1
AT3G12740.1	AT5G47180.2
AT3G12740.1	AT2G24280.1
AT3G12740.1	AT3G47960.1
AT5G62880.1	AT3G63150.1
AT5G62880.1	AT2G46710.1
AT5G62880.1	AT1G62450.1
AT5G62880.1	AT5G09550.1
AT1G65930.1	AT1G66400.1
AT1G65930.1	AT3G52220.1
AT1G65930.1	AT5G18940.1
AT1G65930.1	AT2G05710.1
AT1G65930.1	AT2G21130.1
AT1G65930.1	AT5G47540.1
AT1G65930.1	AT4G23895.3
AT1G65930.1	AT2G26390.1
AT1G65930.1	AT4G26390.1
AT1G65930.1	AT5G64960.1
AT1G65930.1	AT2G36460.1
AT1G65930.1	AT1G62800.2
AT1G65930.1	AT3G11630.1
AT1G65930.1	AT2G23170.1
AT1G65930.1	AT1G28130.1
AT1G65930.1	AT4G29130.1
AT1G65930.1	AT1G72520.1
AT1G65930.1	AT1G47840.1
AT1G65930.1	AT2G41410.1
AT1G65930.1	AT1G54340.1
AT1G65930.1	AT2G38280.2
AT1G65930.1	AT1G80050.1
AT1G65930.1	AT1G48050.1
AT1G65930.1	AT5G13380.1
AT1G65930.1	AT1G69520.1
AT1G65930.1	AT2G14540.1
AT1G65930.1	AT1G55020.1
AT1G65930.1	AT5G10270.1
AT1G65930.1	AT2G47750.1
AT1G65930.1	AT3G11050.1
