GO ID	TERM	PVAL	FDR	UIDS
44281	small molecule metabolic process	2.432E-23	1.9237E-20	P48491 Q84P21 Q9C9Z8 Q9SJL8 Q9SJH7 B9DGD6 Q9SD81 O80452 Q9SXP7 Q8GXW5 Q8VYP2 Q9LH76 Q9SAK4 Q9C907 Q9LPG6 P28297 Q9FKG3 O23299 P98204 O80526 Q9FZ80 Q9LXS6 Q9SJE2 Q0WNZ5 Q9FGS4 Q06327 Q96329 Q94AY1 Q96529 Q9M1B9 Q9T074 O65202 O82616 P57106 Q9ZPI6 Q9LUT2 Q9LVI8 Q42605 Q9SGU9 O65595 Q9ZQP2 P49078 O49203 Q9LHA4 Q94FY7 Q9SIE3 Q56WN1 O81796 Q9ZUU1
8152	metabolic process	5.3153E-16	2.1022E-13	Q8VYH2 Q9SR70 Q8LPL3 Q84P21 Q9C8T3 Q9SJH7 B9DGD6 O80452 Q9M7T0 Q43295 Q9LFT8 Q8VYP2 P16181 Q9LH76 O64380 Q9ASV6 Q9LUI6 Q9LPG6 P28297 Q9FKG3 P98204 Q9C9U4 Q8GVE8 Q9FR44 Q9FX83 Q8GWG0 Q8LCQ4 O81014 Q94AY1 Q39189 Q39101 Q96529 Q9XJ27 O22290 Q9C8J4 Q9CAC5 O65202 O82616 Q9FIJ0 P57106 Q9SSL0 Q9ZPI6 Q9FI13 Q93VC9 P43256 Q9LM71 Q9LVI8 Q9LF98 Q9SGU9 P49078 Q9C7W7 P57751 Q9LY66 Q94FY7 Q8LF48 Q56WN1 Q8GY96 Q9C639 Q9ZUU1 P48491 Q9FVR9 Q9FLF0 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 Q9SD81 Q9SXP7 Q8GXW5 O65390 Q9SAK4 Q9C907 Q9FLE4 O23334 Q9FKK7 O23299 Q8L518 Q9FKC0 Q9FY65 Q8LA96 O80526 Q9FZ80 Q9LXS6 Q9T0G2 Q9SJE2 P92514 Q0WNZ5 Q9FGS4 Q06327 Q9SWG0 Q96329 Q9SCX8 Q9M1B9 Q8L8W6 Q9ZVQ3 Q9T074 P04778 Q9FMF1 Q9FY54 Q9SYT0 Q9LTR8 Q9SGH4 O04603 Q9LUT2 Q8RWZ3 Q9M077 Q9LM33 Q9SYL9 Q9LMT0 Q9SXJ6 Q9SKQ0 Q42605 Q9SZF8 O65595 Q9ZQP2 Q8L735 Q9LUK2 O49203 Q9LHA4 Q42564 Q1PDI2 Q9SIE3 O81796 Q9LFU9 Q9CAV0 Q9MAH0 Q8S528 Q9M9H6
43436	oxoacid metabolic process	7.1108E-15	1.4647E-12	P48491 Q84P21 O65202 Q9SJH7 P57106 Q9ZPI6 B9DGD6 Q9LUT2 Q9SXP7 Q8GXW5 Q8VYP2 Q9SAK4 Q9LVI8 Q9SGU9 O65595 Q9ZQP2 P28297 Q9FKG3 O23299 P49078 Q9FZ80 Q9LXS6 Q94FY7 Q9SJE2 Q9SIE3 Q0WNZ5 Q56WN1 Q9FGS4 Q06327 O81796 Q96329 Q9ZUU1
6082	organic acid metabolic process	7.4069E-15	1.4647E-12	P48491 Q84P21 O65202 Q9SJH7 P57106 Q9ZPI6 B9DGD6 Q9LUT2 Q9SXP7 Q8GXW5 Q8VYP2 Q9SAK4 Q9LVI8 Q9SGU9 O65595 Q9ZQP2 P28297 Q9FKG3 O23299 P49078 Q9FZ80 Q9LXS6 Q94FY7 Q9SJE2 Q9SIE3 Q0WNZ5 Q56WN1 Q9FGS4 Q06327 O81796 Q96329 Q9ZUU1
19752	carboxylic acid metabolic process	4.8817E-14	7.7228E-12	P48491 Q84P21 O65202 Q9SJH7 P57106 Q9ZPI6 B9DGD6 Q9LUT2 Q9SXP7 Q8GXW5 Q8VYP2 Q9SAK4 Q9LVI8 Q9SGU9 O65595 Q9ZQP2 P28297 Q9FKG3 O23299 P49078 Q9LXS6 Q94FY7 Q9SJE2 Q9SIE3 Q0WNZ5 Q9FGS4 Q06327 O81796 Q96329 Q9ZUU1
9987	cellular process	1.544E-13	2.0355E-11	Q9SR70 Q84P21 Q9SJH7 B9DGD6 O80452 Q9M7T0 Q43295 Q9LFT8 Q8VYP2 Q39233 P16181 Q9LH76 O64380 Q9ASV6 Q9LUI6 Q9LPG6 P28297 Q9FKG3 P98204 Q9C9U4 Q8GVE8 Q9FR44 Q8GWG0 Q8LCQ4 O81014 Q94AY1 Q39189 Q39101 Q96529 Q9XJ27 O22290 Q9C8J4 Q9CAC5 O65202 O82616 Q07970 P57106 Q9ZPI6 Q9FI13 P43256 Q9LM71 Q9LVI8 Q9LF98 Q9SGU9 P49078 Q9C7W7 Q9LYW9 Q9LY66 O81635 Q94FY7 Q56WN1 O49377 Q9C639 Q9ZUU1 Q1PEX3 P48491 Q9FLF0 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 Q9SD81 Q9SXP7 Q3E8X3 P59277 Q8GXW5 Q8GYY5 Q9C9Q4 Q9SAK4 Q9C907 Q9FLE4 Q9STY0 O23334 O23299 Q8L518 Q9FKC0 Q9FY65 Q9SH08 O80526 Q9FZ80 Q9LXS6 Q9T0G2 Q9SJE2 P92514 Q0WNZ5 Q9FGS4 Q06327 Q96329 Q9SCX8 O82660 Q9M1B9 Q8L8W6 Q9ZVQ3 Q9T074 P04778 Q9FY54 Q9SYT0 Q9SGH4 Q9LW76 O04603 Q9XIE6 Q9LUT2 Q9M077 Q9C8E6 Q9LM33 Q9SYL9 Q9LMT0 Q9SKQ0 Q38885 Q9SZF8 O65595 Q9ZQP2 Q8L735 Q9LUK2 O49203 Q9LHA4 Q42564 O64668 Q1PDI2 Q9SIE3 O81796 Q9T0A7 Q9CAV0 Q9MAH0 Q9M9H6 O82481
32787	monocarboxylic acid metabolic process	1.2095E-12	1.3667E-10	P48491 O65595 Q9ZQP2 Q84P21 Q9FKG3 O23299 O65202 Q9LXS6 Q9SJH7 Q94FY7 P57106 Q9SJE2 Q9SIE3 Q9ZPI6 B9DGD6 Q9SXP7 Q06327 Q96329 Q8VYP2 Q9SAK4
44237	cellular metabolic process	2.5787E-12	2.5497E-10	Q9SR70 Q84P21 Q9SJH7 B9DGD6 O80452 Q43295 Q9LFT8 Q8VYP2 P16181 Q9LH76 O64380 Q9ASV6 Q9LUI6 Q9LPG6 P28297 Q9FKG3 P98204 Q9C9U4 Q8GVE8 Q9FR44 Q8GWG0 Q8LCQ4 O81014 Q94AY1 Q39189 Q39101 Q96529 Q9XJ27 O22290 Q9C8J4 Q9CAC5 O65202 O82616 P57106 Q9ZPI6 Q9FI13 P43256 Q9LM71 Q9LVI8 Q9LF98 Q9SGU9 P49078 Q9C7W7 Q9LY66 Q94FY7 Q56WN1 Q9C639 Q9ZUU1 P48491 Q9FLF0 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 Q9SD81 Q9SXP7 Q8GXW5 Q9SAK4 Q9C907 Q9FLE4 O23334 O23299 Q8L518 Q9FKC0 Q9FY65 O80526 Q9FZ80 Q9LXS6 Q9T0G2 Q9SJE2 P92514 Q0WNZ5 Q9FGS4 Q06327 Q96329 Q9SCX8 Q9M1B9 Q8L8W6 Q9ZVQ3 P04778 Q9FY54 Q9SGH4 O04603 Q9LUT2 Q9M077 Q9LM33 Q9SYL9 Q9LMT0 Q9SKQ0 Q9SZF8 O65595 Q9ZQP2 Q8L735 Q9LUK2 O49203 Q9LHA4 Q1PDI2 Q9SIE3 O81796 Q9CAV0 Q9MAH0 Q9M9H6
19637	organophosphate metabolic process	1.549E-10	1.3614E-08	P48491 O65595 Q9FKG3 P98204 Q8L518 Q9C9Z8 O49203 Q9FR44 O80526 Q9LHA4 P57106 O80452 Q9FI13 Q9FGS4 Q94AY1 Q9ZUU1 Q96529 Q9M9H6 Q9LF98
72329	monocarboxylic acid catabolic process	4.3597E-10	3.3856E-08	Q9ZQP2 O23299 O65202 Q9LXS6 Q96329 Q9SJH7 Q9SAK4 Q9ZPI6
46395	carboxylic acid catabolic process	5.1362E-10	3.3856E-08	Q9SGU9 Q9ZQP2 O23299 O65202 P49078 Q9LXS6 Q96329 Q9SJH7 Q9SAK4 Q9ZPI6
16054	organic acid catabolic process	5.1362E-10	3.3856E-08	Q9SGU9 Q9ZQP2 O23299 O65202 P49078 Q9LXS6 Q96329 Q9SJH7 Q9SAK4 Q9ZPI6
55086	nucleobase-containing small molecule metabolic process	5.9288E-10	3.6074E-08	P48491 O65595 Q9LPG6 Q9FKG3 P98204 Q9C9Z8 O49203 O80526 Q9LHA4 P57106 O80452 Q9FGS4 Q94AY1 Q9ZUU1 Q96529 Q9LH76
9060	aerobic respiration	7.5393E-10	4.2597E-08	P92514 Q8GVE8 Q9FGS4 O81796 Q9LXS6 Q9MAH0 Q9SJH7
71704	organic substance metabolic process	1.1384E-09	5.8627E-08	Q8VYH2 Q9SR70 Q84P21 Q9C8T3 Q9SJH7 B9DGD6 O80452 Q8VYP2 P16181 Q9LH76 O64380 Q9ASV6 Q9LUI6 Q9LPG6 P28297 Q9FKG3 P98204 Q9C9U4 Q9FR44 Q8GWG0 Q94AY1 Q39189 Q96529 Q9XJ27 O22290 Q9C8J4 O65202 O82616 P57106 Q9SSL0 Q9ZPI6 Q9FI13 Q93VC9 P43256 Q9LM71 Q9LVI8 Q9LF98 Q9SGU9 P49078 Q9C7W7 Q9LY66 Q94FY7 Q56WN1 Q9ZUU1 P48491 Q9FLF0 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 Q9SD81 Q9SXP7 Q8GXW5 O65390 Q9SAK4 Q9C907 Q9FLE4 O23334 Q9FKK7 O23299 Q8L518 Q9FKC0 Q9FY65 O80526 Q9FZ80 Q9LXS6 Q9SJE2 Q0WNZ5 Q9FGS4 Q06327 Q96329 Q9SCX8 Q9M1B9 Q8L8W6 Q9T074 Q9FMF1 Q9FY54 O04603 Q9LUT2 Q9M077 Q9LM33 Q9SYL9 Q9LMT0 Q9SXJ6 Q9SKQ0 Q42605 Q9SZF8 O65595 Q9ZQP2 Q8L735 Q9LUK2 O49203 Q9LHA4 Q9SIE3 O81796 Q9CAV0 Q9M9H6
1901576	organic substance biosynthetic process	1.1859E-09	5.8627E-08	Q8VYH2 Q9FLF0 Q84P21 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 O80452 Q8GXW5 Q8VYP2 P16181 Q9LH76 O64380 Q9ASV6 Q9FLE4 Q9LPG6 P98204 Q8L518 Q9FKC0 Q9FY65 Q9FR44 O80526 Q9FZ80 Q9SJE2 Q8GWG0 Q0WNZ5 Q9FGS4 Q06327 Q94AY1 Q96529 Q9XJ27 O22290 Q9C8J4 Q8L8W6 Q9T074 O65202 O04603 Q9LUT2 Q9SYL9 P43256 Q9LVI8 Q42605 Q9SZF8 Q9ZQP2 Q8L735 Q9C7W7 Q9LUK2 Q9LHA4 Q94FY7 Q9SIE3 Q9ZUU1 Q9CAV0 Q9M9H6
6753	nucleoside phosphate metabolic process	1.5769E-09	7.337E-08	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O49203 O80526 Q9LHA4 P57106 O80452 Q9FGS4 Q94AY1 Q9ZUU1 Q96529
9058	biosynthetic process	1.8262E-09	8.025E-08	Q8VYH2 Q9FLF0 Q84P21 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJL8 O80452 Q8GXW5 Q8VYP2 P16181 Q9LH76 O64380 Q9ASV6 Q9FLE4 Q9LPG6 P98204 Q8L518 Q9FKC0 Q9FY65 Q9FR44 O80526 Q9FZ80 Q9SJE2 Q8GWG0 Q0WNZ5 Q9FGS4 Q06327 Q94AY1 Q96529 Q9XJ27 O22290 Q9C8J4 Q8L8W6 Q9T074 O65202 Q9FY54 O04603 Q9LUT2 Q9SYL9 P43256 Q9LVI8 Q42605 Q9SZF8 Q9ZQP2 Q8L735 Q9C7W7 Q9LUK2 Q9LHA4 Q94FY7 Q9SIE3 Q9ZUU1 Q9CAV0 Q9M9H6
44238	primary metabolic process	5.6895E-09	2.3513E-07	Q8VYH2 Q9SR70 P48491 Q9FLF0 Q9C8T3 Q9C9Z8 Q9M2F1 Q9FLN4 Q9SJH7 Q9SD81 O80452 Q9SXP7 Q8GXW5 Q8VYP2 P16181 Q9LH76 O65390 Q9SAK4 O64380 Q9C907 Q9ASV6 Q9FLE4 Q9LUI6 O23334 Q9LPG6 Q9FKG3 Q9FKK7 O23299 P98204 Q9C9U4 Q8L518 Q9FKC0 Q8GVE8 Q9FY65 Q9FR44 O80526 Q9LXS6 Q9SJE2 Q8GWG0 Q0WNZ5 Q9FGS4 Q96329 Q94AY1 Q39189 Q9SCX8 Q96529 Q9XJ27 O22290 Q9C8J4 Q9M1B9 Q8L8W6 Q9T074 O65202 Q9FMF1 Q9FY54 O82616 P57106 O04603 Q9SSL0 Q9ZPI6 Q9LUT2 Q9M077 Q93VC9 Q9LM33 Q9SYL9 Q9LMT0 Q9SXJ6 P43256 Q9LM71 Q9SKQ0 Q9LVI8 Q42605 Q9SGU9 Q9SZF8 O65595 Q9ZQP2 Q8L735 P49078 Q9C7W7 Q9LUK2 O49203 Q9LHA4 Q9LY66 Q94FY7 Q9SIE3 O81796 Q9ZUU1 Q9CAV0 Q9MAH0 Q9M9H6
9062	fatty acid catabolic process	5.9452E-09	2.3513E-07	Q9ZQP2 O23299 O65202 Q9LXS6 Q96329 Q9SJH7 Q9ZPI6
44282	small molecule catabolic process	7.0999E-09	2.6743E-07	Q9SGU9 Q9ZQP2 O23299 O65202 P49078 Q9LXS6 Q96329 Q9SJH7 Q9SAK4 Q9ZPI6
9117	nucleotide metabolic process	1.0924E-08	3.9278E-07	P48491 O65595 Q9FKG3 P98204 Q9C9Z8 O49203 O80526 Q9LHA4 P57106 Q9FGS4 Q94AY1 Q9ZUU1 Q96529
