GO ID	TERM	PVAL	FDR	UIDS
34641	cellular nitrogen compound metabolic process	2.2119E-20	1.1148E-17	O22056 Q8VZ19 Q8L7K0 Q8LDU0 Q8GYL5 Q8S8D2 Q8LF41 O82234 P41377 Q43292 Q9FJ98 Q9SIW2 Q8VZ55 Q9M8M9 Q9LVK6 Q9FVQ1 Q9LS09 Q9LUQ6 Q93ZA0 Q9FIK0 O22922 Q94AH9 O82266 B9DHA6 Q5XF07 Q9XGM2 P49689 Q9SMX4 Q9SJ96 Q94A79 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 P34788 O24617 O80358 Q9SYH2 Q8LFJ6 P25864 Q9M7I7 Q9FQ09 Q67Z79 Q9C641 O22268 Q8L8R4 Q9GCB9 P46286 Q93VC7 P38421 Q9CA19 Q9LH85 Q9SQZ1
10467	gene expression	7.178E-19	1.8089E-16	O22056 Q8VZ19 Q8L7K0 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 Q8LDU0 P34788 Q8GYL5 Q8S8D2 Q8LF41 O82234 P41377 Q43292 Q9FJ98 Q9SYH2 Q9SIW2 Q8LFJ6 Q8VZ55 P25864 Q9M8M9 Q9LVK6 Q9C641 O22268 Q8L8R4 Q9FVQ1 Q9GCB9 P46286 Q9LUQ6 Q93VC7 O22922 Q94AH9 O82266 P38421 B9DHA6 Q9CA19 P49689 Q9SMX4 Q9SJ96 Q9LH85 Q9SQZ1
44260	cellular macromolecule metabolic process	2.8436E-18	4.7772E-16	O22056 Q8VZ19 Q6BDA0 Q8L7K0 Q9FML2 Q8LDU0 Q8GYL5 Q8LF41 O82234 P41377 Q9C9M7 Q43292 Q9FJ98 Q8LBL5 Q9SIW2 Q8VZ55 Q9M8M9 Q9M9G1 Q9LVK6 Q9FIG0 Q9LUQ6 Q9LUQ5 Q93ZA0 Q9SY65 Q8W468 Q94AH9 B9DHA6 Q5XF07 Q9XGM2 P49689 Q9SMX4 Q9SJ96 Q9C776 Q94A79 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 P34788 O24617 Q8LB65 Q84TI6 O82210 O80358 Q93ZG9 Q9SYH2 Q8LFJ6 P25864 Q9FQ09 Q9C641 O22268 Q8L8R4 Q9GCB9 Q9FME0 P46286 Q93VC7 Q8GYM6 P38421 Q9CA19 Q9LH85 Q9SQZ1
43170	macromolecule metabolic process	4.2296E-17	5.3293E-15	O22056 Q8VZ19 Q6BDA0 Q8L7K0 Q9FML2 Q8LDU0 Q8GYL5 Q8S8D2 Q8LF41 O82234 P41377 Q9C9M7 Q43292 Q9FJ98 Q8LBL5 Q9SIW2 Q8VZ55 Q9M8M9 Q9M9G1 Q9LVK6 Q9FVQ1 Q9FIG0 Q9LUQ6 Q9LUQ5 Q93ZA0 O22922 Q9SY65 Q8W468 Q94AH9 O82266 B9DHA6 Q5XF07 Q9XGM2 P49689 Q9SMX4 Q9SJ96 Q9C776 Q94A79 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 P34788 O24617 Q8LB65 Q84TI6 O82210 O80358 Q93ZG9 Q9SYH2 Q8LFJ6 P25864 Q9FQ09 Q67Z79 Q9C641 O22268 Q8L8R4 Q9GCB9 Q9FME0 P46286 Q93VC7 Q8GYM6 P38421 Q9CA19 Q9LH85 Q9SQZ1
6807	nitrogen compound metabolic process	8.2768E-16	8.3431E-14	O22056 Q8VZ19 Q6BDA0 Q8L7K0 Q9FML2 Q8LDU0 Q8GYL5 Q8S8D2 Q8LF41 O82234 P41377 Q9C9M7 Q43292 Q9FJ98 Q8LBL5 Q9SIW2 Q8VZ55 Q9M8M9 Q9M9G1 Q9LVK6 Q9FVQ1 Q9LS09 Q9FIG0 Q9LUQ6 Q9LUQ5 Q93ZA0 Q9FIK0 O22922 Q9SY65 Q8W468 Q94AH9 O82266 B9DHA6 Q5XF07 Q9XGM2 P49689 Q9SMX4 Q9SJ96 Q9C776 Q94A79 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 P34788 O24617 Q8LB65 Q84TI6 O82210 O80358 Q93ZG9 Q9SYH2 Q8LFJ6 P25864 Q9M7I7 Q9FQ09 Q67Z79 Q9C641 O22268 Q8L8R4 Q9GCB9 P46286 Q93VC7 Q8GYM6 P38421 Q9CA19 Q9LH85 Q9SQZ1
34645	cellular macromolecule biosynthetic process	4.1725E-14	3.5049E-12	O22056 Q8VZ19 Q8L7K0 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 Q8LDU0 P34788 Q8GYL5 Q8LF41 O82234 P41377 Q43292 Q9FJ98 Q9SYH2 Q8LFJ6 Q8VZ55 P25864 Q9M8M9 Q9LVK6 Q9C641 Q9GCB9 Q9FME0 P46286 Q9LUQ6 Q93VC7 P38421 B9DHA6 Q9CA19 P49689 Q9SMX4 Q9SJ96 Q9LH85 Q9SQZ1
44237	cellular metabolic process	5.4507E-14	3.9245E-12	O22056 Q8VZ19 Q6BDA0 Q8L7K0 Q9FML2 Q8LDU0 Q8GYL5 Q8S8D2 Q8LF41 O82234 P41377 Q9C9M7 Q43292 Q9FJ98 Q8LBL5 Q9SIW2 Q8VZ55 Q9M8M9 Q9M9G1 Q9LVK6 Q9FVQ1 Q9LS09 Q9FIG0 Q9LUQ6 Q9LUQ5 Q93ZA0 Q9FIK0 O22922 Q9SY65 Q8W468 Q94AH9 O82266 B9DHA6 Q5XF07 Q9XGM2 P49689 Q9S7L9 Q9SMX4 Q9SJ96 Q9C776 Q94A79 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 P34788 O24617 Q9FNX8 Q8LB65 Q84TI6 O82210 O80358 Q93ZG9 Q8RWA7 Q9SYH2 Q8LFJ6 P25864 Q9M7I7 Q9FQ09 Q67Z79 Q9C641 O22268 Q8L8R4 Q9GCB9 Q9FME0 P46286 Q93VC7 Q8GYM6 P16972 P38421 Q9CA19 Q9LH85 Q9SQZ1
9059	macromolecule biosynthetic process	7.4284E-14	4.6799E-12	O22056 Q8VZ19 Q8L7K0 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 Q8LDU0 P34788 Q8GYL5 Q8LF41 O82234 P41377 Q43292 Q9FJ98 Q9SYH2 Q8LFJ6 Q8VZ55 P25864 Q9M8M9 Q9LVK6 Q9C641 Q9GCB9 Q9FME0 P46286 Q9LUQ6 Q93VC7 P38421 B9DHA6 Q9CA19 P49689 Q9SMX4 Q9SJ96 Q9LH85 Q9SQZ1
44271	cellular nitrogen compound biosynthetic process	2.1125E-12	1.183E-10	O22056 Q8VZ19 Q8L7K0 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 Q8LDU0 P34788 Q8GYL5 Q8LF41 O82234 P41377 Q43292 Q9FJ98 Q9SYH2 Q8LFJ6 Q8VZ55 P25864 Q9M8M9 Q9LVK6 Q9C641 Q9GCB9 P46286 Q9LUQ6 Q93VC7 P38421 B9DHA6 Q9CA19 P49689 Q9SMX4 Q9SJ96 Q9LH85 Q9SQZ1
44238	primary metabolic process	6.9239E-12	3.4897E-10	O22056 Q8VZ19 Q6BDA0 Q8L7K0 Q9FML2 Q8LDU0 Q8GYL5 Q8S8D2 Q8LF41 O82234 P41377 Q9C9M7 Q43292 Q9FJ98 Q8LBL5 Q9SIW2 Q8VZ55 Q9M8M9 Q9M9G1 Q9LVK6 Q9FVQ1 Q9LS09 Q9FIG0 Q9LUQ6 Q9LUQ5 Q93ZA0 Q9FIK0 O22922 Q9SY65 Q8W468 Q94AH9 O82266 B9DHA6 Q5XF07 Q9XGM2 P49689 Q9SMX4 Q9SJ96 Q9C776 Q94A79 Q9FNH2 Q9ZQC0 O80439 Q9XIA6 P34788 O24617 Q8LB65 Q84TI6 O82210 O80358 Q93ZG9 Q9SYH2 Q8LFJ6 P25864 Q9FQ09 Q67Z79 Q9C641 O22268 Q8L8R4 Q9GCB9 P46286 Q93VC7 Q8GYM6 P38421 Q9CA19 Q9LH85 Q9SQZ1
