"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","CLUSTER","ClusteringCoefficient","Degree","Eccentricity","ISPHOS","IsSingleNode","LFC_0-1","LFC_1-2","LFC_2-3","LFC_3-4","LFCDIFF","MAX","MIN","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","SOURCETISSUE","Stress","TISSUE","TopologicalCoefficient","UNIPROTID","VAR"
"14073","1.92307692","0.0","0.52","4","0.0","1","2","0","false","0.24553087256287395","1.7411670253222313","-1.3694543068783802","0.5251108722954537","3.1106213322006115","1.7411670253222313","-1.3694543068783802","STAD5_ARATH","13.0","1","0","0","0.53846154","false","0","AT3G02630.1","EB","0","EB","0.0","Q9M879","1.6389503721083294"
"14074","1.92307692","0.0","0.52","1","0.0","1","2","0","false","0.6233155090072798","-0.041060777966810603","0.46370230579469346","0.23593389234687","0.6643762869740905","0.6233155090072798","-0.041060777966810603","PAP8_ARATH","13.0","1","0","0","0.53846154","false","0","AT5G19940.1","EB","0","EB","0.0","Q941D3","0.08336058421123671"
"14075","1.92307692","0.0","0.52","1","0.0","1","2","0","false","0.30062156892405223","0.6124000041828632","-0.21232054262849856","0.5048804700403112","0.8247205468113618","0.6124000041828632","-0.21232054262849856","RR2_ARATH","13.0","1","0","0","0.53846154","false","0","ATCG00160.1","EB","0","EB","0.0","P56797","0.1340115686924894"
"14076","1.92307692","0.0","0.52","2","0.0","1","2","0","false","0.9469739594806985","1.0277334232118231","-0.8720512352406606","0.31580533490774443","1.8997846584524838","1.0277334232118231","-0.8720512352406606","TRXM1_ARATH","13.0","1","0","0","0.53846154","false","0","AT1G03680.1","EB","0","EB","0.0","O48737","0.7700645971092488"
"14077","3.0","0.0","0.33333333","1","0.0","1","4","0","false","0.3213582566878867","0.2136312998059273","-0.012278320448293389","0.24319125349569468","0.3336365771361801","0.3213582566878867","-0.012278320448293389","TI110_ARATH","2.0","1","0","0","0.5","false","0","AT1G06950.1","EB","0","EB","0.0","Q8LPR9","0.02051684948557601"
"14078","2.27272727","0.0","0.44","1","1.0","2","3","0","false","0.3772435031671583","0.24757550521302554","-0.12992344101703188","0.22120256233812363","0.5071669441841902","0.3772435031671583","-0.12992344101703188","DCVR_ARATH","4.5","2","0","0","0.68181818","false","0","AT5G18660.1","EB","0","EB","0.75","Q1H537","0.047072610911185336"
"14079","1.0","0.0","1.0","1","1.0","2","1","1","false","0.1418227646281295","-0.4640910262392229","0.3329729619543353","-0.15060330712547018","0.7970639881935582","0.3329729619543353","-0.4640910262392229","RSZ32_ARATH","2.0","2","0","0","1.0","false","0","AT3G53500.2","EB","0","EB","1.0","Q9FYB7","0.12138454055580357"
"14080","1.0","0.0","1.0","1","1.0","2","1","1","false","0.2003425256987467","-0.38733346884793984","0.24709026904768622","-0.053382555734800316","0.6344237378956261","0.24709026904768622","-0.38733346884793984","F4HSZ1_ARATH","2.0","2","0","0","1.0","false","0","AT1G27595.1","EB","0","EB","1.0","F4HSZ1","0.08468545441920335"
"14081","1.0","0.0","1.0","1","1.0","2","1","1","false","0.08253923592088508","-0.5582488936715984","0.3797507779820514","-0.08690448040543979","0.9379996716536498","0.3797507779820514","-0.5582488936715984","PRP16_ARATH","2.0","2","0","0","1.0","false","0","AT5G13010.1","EB","0","EB","1.0","F4K2E9","0.15395261424031303"
"14082","1.92307692","0.0","0.52","2","0.0","1","2","0","false","0.6613853406080537","1.8258993000310202","-1.008276631201587","0.6887200366635955","2.834175931232607","1.8258993000310202","-1.008276631201587","STAD6_ARATH","13.0","1","0","0","0.53846154","false","0","AT1G43800.1","EB","0","EB","0.0","Q84VY3","1.3625115520302737"
"14083","2.9375","0.0","0.34042553","5","1.0","3","6","0","false","0.30639084926714044","1.6275359610035962","-0.9710982071580765","0.4427328652902665","2.5986341681616727","1.6275359610035962","-0.9710982071580765","ATP5E_ARATH","4.66666667","3","0","0","0.7578125","true","0","AT1G51650.1","EB","0","EB","0.58333333","Q96253","1.1292973381545168"
"14084","2.8125","0.23333333","0.35555556","5","0.5","4","6","0","false","0.21092739511344244","0.9840716169452504","-0.6396353005696489","0.6676570163719804","1.6237069175148993","0.9840716169452504","-0.6396353005696489","NDUB7_ARATH","3.75","4","0","0","0.7734375","false","0","AT2G02050.1","EB","56","EB","0.4375","Q9SKC9","0.4979471991125715"
"14085","3.625","0.0","0.27586207","1","0.0","1","7","1","false","0.0074760709245929756","-0.5726019933888024","0.432996780569718","-0.21009326177722862","1.0055987739585204","0.432996780569718","-0.5726019933888024","SUCA1_ARATH","6.0","1","0","0","0.671875","false","0","AT5G08300.1","EB","0","EB","0.0","P68209","0.1767584272345076"
"14086","1.92307692","0.0","0.52","1","0.0","1","2","0","false","0.21437910093933196","0.36833880697730853","-0.629330918479985","0.3357290478600651","0.9976697254572935","0.36833880697730853","-0.629330918479985","Q9C913_ARATH","13.0","1","0","0","0.53846154","false","0","AT1G74280.1","EB","0","EB","0.0","Q9C913","0.223168751140457"
"14087","3.625","0.125","0.27586207","4","0.0","2","7","0","false","0.66268503925456","3.50199547596917","-2.3640308483965655","1.0596491016898808","5.866026324365736","3.50199547596917","-2.3640308483965655","ACP5_ARATH","2.5","2","0","0","0.671875","false","0","AT5G27200.1","EB","30","EB","0.5","O04652","5.7897648615160255"
"14088","4.5625","0.0","0.21917808","4","0.0","1","8","0","false","0.4607873193855379","3.0224927243362636","-2.083562814891364","1.168154185558619","5.1060555392276274","3.0224927243362636","-2.083562814891364","Q9LYB8_ARATH","2.0","1","0","0","0.5546875","false","0","AT3G63040.1","EB","0","EB","0.0","Q9LYB8","4.46837150899973"
"14089","1.0","0.0","1.0","2","0.0","1","1","0","false","0.5084751584198599","1.2609787060581452","-1.0688645472519605","0.760828684807061","2.3298432533101057","1.2609787060581452","-1.0688645472519605","Q8S9I8_ARATH","1.0","1","0","0","1.0","false","0","AT1G64355.1","EB","0","EB","0.0","Q8S9I8","1.0120034492309824"
