ID	STRINGINDEX
AT5G08710.1	SQ
AT2G36460.1	SQ
AT5G67560.1	SQ
AT5G51820.1	FLSQ
AT1G73110.1	FLSQ
AT3G08947.1	SQ
AT4G30330.1	SQ
AT4G04640.1	EBFLSQ
AT1G80050.1	SQ
ATCG00720.1	EBFLSQ
AT1G65450.1	FLSQ
AT1G22740.1	FLSQ
AT4G17170.1	FLSQ
AT4G17560.1	SQ
AT1G54340.1	SQ
AT1G69520.1	SQ
AT1G49040.1	SQ
AT4G23890.1	FLSQ
ATCG01060.1	EBFLSQ
AT5G64960.1	EBSQ
AT4G01150.1	EBSQ
AT5G22800.1	FLSQ
AT3G23700.1	FLSQ
AT2G21280.1	FLSQ
AT5G46040.1	SQ
AT3G22110.1	SQ
AT1G54780.1	EBFLSQ
AT1G54320.1	SQ
AT1G30380.1	EBSQ
AT5G43750.1	FLSQ
AT2G34420.1	SQ
AT1G59500.1	SQ
AT1G47830.1	SQ
AT4G35860.1	SQ
AT2G05100.1	EBSQ
AT2G39730.1	FLSQ
ATCG00490.1	FLSQ
AT5G63910.1	SQ
AT1G62020.1	SQ
AT1G29920.1	FLSQ
AT2G44610.1	SQ
AT1G09100.1	SQ
AT4G02620.1	SQ
AT1G07110.1	FLSQ
AT1G10090.1	FLSQ
AT2G42070.1	FLSQ
AT4G29820.1	SQ
AT5G55220.1	FLSQ
AT4G09650.1	EBLFSQ
AT2G36145.1	EBFLSQ
AT3G46460.1	SQ
AT1G12550.1	SQ
AT2G07689.1	SQ
AT1G76450.1	FLSQ
AT2G03150.1	EBFLSQ
AT2G28390.1	FLSQ
ATCG00570.1	EBFLSQ
AT2G32850.2	SQ
AT5G17520.1	SQ
AT1G65590.1	FLSQ
AT3G17930.1	FLSQ
AT5G08410.1	EBFLSQ
AT3G16640.1	SQ
AT3G16650.1	SQ
AT1G23310.1	FLSQ
AT5G01530.1	EBFLSQ
AT4G02280.1	SQ
AT3G52180.1	SQ
AT2G15620.1	FLSQ
AT5G58260.1	SQ
ATCG01300.1	LFSQ
AT2G03290.1	SQ
AT3G46780.1	EBFLSQ
AT2G40100.1	EBFLSQ
AT2G42880.1	SQ
AT2G45140.1	SQ
AT4G37930.1	FLSQ
AT2G19710.1	FLSQ
AT5G60860.1	FLSQ
AT2G02040.1	SQ
AT3G01480.1	EBFLSQ
AT5G23060.1	EBFLSQ
AT4G18240.1	SQ
AT2G46610.1	EBSQ
AT5G03200.1	SQ
AT1G50920.1	SQ
AT1G62180.1	SQ
AT2G34430.1	SQ
AT1G55670.1	EBFLSQ
AT5G38420.1	SQ
AT4G28740.1	EBSQ
AT2G14540.1	SQ
AT3G19480.1	FLSQ
AT5G10260.1	FLSQ
AT1G71500.1	SQ
ATCG00420.1	SQ
AT3G50670.1	FLSQ
AT4G14455.1	SQ
AT4G26230.1	SQ
AT3G08590.2	SQ
ATCG00130.1	EBFLSQ
AT1G64740.1	SQ
AT3G24500.1	SQ
AT5G54080.2	FLSQ
AT4G28080.1	EBFLSQ
AT1G79870.1	SQ
AT1G20020.1	EBFLSQ
AT2G18740.1	SQ
AT2G33220.1	SQ
AT1G06030.1	SQ
AT4G19640.1	SQ
AT5G10220.1	SQ
AT5G04170.1	SQ
AT2G28520.1	SQ
AT5G56150.1	SQ
AT3G02570.1	SQ
AT5G43780.1	FLSQ
AT1G69830.1	SQ
AT1G75220.1	SQ
AT2G29900.1	SQ
AT3G50820.1	EBSQ
AT2G32950.1	SQ
AT3G63410.1	SQ
AT1G15820.1	FLSQ
AT5G48810.1	FLSQ
AT3G12580.1	EBSQ
AT3G55800.1	FLSQ
ATCG00520.1	EBSQ
AT1G15980.1	FLSQ
AT1G50320.1	SQ
ATCG00470.1	EBFLLFSQ
ATCG01110.1	FLSQ
AT5G11040.1	FLSQ
ATCG00340.1	EBFLSQ
ATCG00580.1	EBFLSQ
AT2G31390.1	FLSQ
AT1G63800.1	SQ
AT4G34450.1	SQ
ATCG00780.1	SQ
AT2G20560.1	SQ
AT2G05710.1	SQ
AT3G09580.1	FLSQ
AT3G04790.1	EBSQ
AT3G45140.1	SQ
AT5G23330.1	SQ
AT1G56330.1	FLSQ
AT5G16400.1	EBSQ
AT1G09630.1	SQ
ATCG01090.1	SQ
AT2G37340.1	EBSQ
AT4G02530.1	EBSQ
AT5G08730.1	SQ
AT1G20340.1	FLSQ
AT3G08580.2	SQ
AT4G02770.1	EBFLSQ
AT2G35370.1	FLSQ
AT1G19450.1	SQ
AT4G38970.1	EBFLSQ
AT3G03910.1	FLSQ
AT3G18890.1	FLSQ
AT4G09020.1	SQ
AT1G13950.1	SQ
AT4G12800.1	EBFLSQ
AT1G55480.1	EBFLSQ
ATCG00120.1	EBFLSQ
AT3G44300.1	FLSQ
AT1G53580.1	SQ
AT1G16720.1	SQ
AT3G61470.1	FLSQ
AT1G32470.1	FLSQ
AT1G76730.1	FLSQ
AT1G56500.1	SQ
AT3G02730.1	EBSQ
AT3G18820.1	SQ
AT3G21850.1	SQ
AT2G35635.1	SQ
AT2G38020.1	SQ
AT4G29060.1	SQ
AT3G12780.1	FLSQ
AT4G37560.1	FLSQ
AT3G07680.1	SQ
AT5G47540.1	FLSQ
AT1G31330.1	EBFLSQ
AT1G73060.1	FLSQ
ATCG00020.1	EBFLSQ
AT2G24820.1	EBFLSQ
AT2G07698.1	SQ
AT4G33010.1	FLSQ
ATMG01170.1	FLSQ
AT5G10360.1	LFSQ
AT3G02360.2	FLSQ
AT1G75690.1	EBFLSQ
AT4G16680.1	SQ
AT2G28720.1	SQ
AT4G12290.1	SQ
AT1G62750.1	FLSQ
AT4G13500.1	SQ
AT2G27680.1	EBFLSQ
AT4G31700.1	LFSQ
AT3G14290.1	FLSQ
AT3G62410.1	FLSQ
AT4G17090.1	FLSQ
AT1G23190.1	SQ
AT5G09490.1	SQ
AT3G48430.1	SQ
AT5G51545.1	EBFLSQ
AT5G38660.2	FLSQ
AT1G77760.1	FLSQ
AT4G24040.1	SQ
AT1G47240.1	SQ
AT5G21430.1	SQ
ATCG00270.1	EBFLSQ
AT1G09330.1	SQ
AT5G47190.1	FLLFSQ
AT5G07020.1	EBFLSQ
AT2G23670.1	EBFLSQ
AT4G29130.1	FLSQ
AT5G66190.1	EBFLSQ
