Reporter.intensity.0.LF1	Reporter.intensity.0.LF2	Reporter.intensity.1.LF1	Reporter.intensity.1.LF2	Reporter.intensity.2.LF1	Reporter.intensity.2.LF2	Reporter.intensity.3.LF1	Reporter.intensity.3.LF2	Reporter.intensity.4.LF1	Reporter.intensity.4.LF2	Reporter.intensity.5.LF1	Reporter.intensity.5.LF2	Reporter.intensity.6.LF1	Reporter.intensity.6.LF2	Reporter.intensity.7.LF1	Reporter.intensity.7.LF2	Reporter.intensity.8.LF1	Reporter.intensity.8.LF2	Reporter.intensity.9.LF1	Reporter.intensity.9.LF2
22014.4756295784	34407.675264629	27947.9856653266	32024.5810610353	36682.9653627995	18535.2686242616	40453.7214149528	43052.8783480128	36567.2962473965	38957.630617116	46957.6248946234	37600.6906606258	40711.5326453293	36346.5323086408	30444.8542434308	37021.9040263292	35473.1049315487	29515.8725250635	30389.9128680004	36921.9259163565
194069.972445839	173095.753325912	225966.117574578	223646.564476348	264870.690901806	282746.716224172	244720.661208769	249015.852978356	264929.562307264	263421.849595058	253147.150228404	273915.595624624	272345.882054802	278508.364402499	274251.684994376	273959.789013655	238147.282872206	268581.14563589	263504.502193124	257816.304698836
224302.975148656	263354.935039604	273023.309445628	261233.474540147	292622.150928603	327038.830223082	338275.146118615	328098.737641188	341734.70777926	400049.915991565	379423.093925124	401828.981926386	403368.613653614	424311.167246113	482938.366704584	443168.866906563	476674.109104801	495978.568534451	485849.846642065	465478.068474957
19053.8684399738	23254.6442937668	20590.5554955074	29302.6453948876	31363.0833368709	11344.6601290171	33855.5266046152	31780.8241111117	30417.5541419304	33577.4282101202	43137.676229681	36392.3057599518	37821.2042678571	37228.7729883851	29153.7681631467	37313.9342090782	33629.8735354091	33753.0512125796	40251.7810187294	39193.0835462587
102297.970541103	91448.1640310368	108555.026154712	115319.625835923	122942.740958241	111835.98851674	99077.5404994535	107829.035794907	107956.307125692	99419.8063176425	98198.8676187947	98301.4499488224	98448.8939311107	98452.4393008071	81738.8263440086	90705.6438705303	76048.106491222	84158.9121796261	77625.2552510221	80977.2782927844
37021.6991831765	38288.8960286753	44009.0516073321	53771.3765358415	48787.1910670384	27607.3400028808	54291.3536575418	43268.9137732779	48155.2543312425	49127.5971288831	62726.2448965673	47132.396933265	54896.4681680307	57670.5694216698	46620.1812994215	51637.0024023606	58242.187540564	77372.109475484	48649.8126803212	64971.3827274338
83960.60493201	68467.8489087749	74725.4572702369	88826.5814883668	108081.980878267	96196.4695096296	95734.7740488301	112648.433104852	111648.223388947	109676.427579448	97148.6897710926	106639.711518617	106674.371731457	102695.425067103	107023.820215287	109366.481232744	98962.0751275704	100433.071705972	114313.266397055	112441.200989486
9223.7726129121	18750.5635464779	18096.9956419091	25819.1964784086	26278.1050343506	5113.44623811115	31659.907786845	26739.3235611866	26436.1964027574	25574.3440473442	38269.6746933577	30082.4306475351	31604.7532058625	32186.7350452476	21468.7232735319	25036.6957482743	26729.9821495433	26429.1786053881	20028.1918646207	28202.0155365594
7495.88255190787	14685.8406483289	16967.441930395	22919.6821959524	25700.2172859997	2112.83515469922	31444.9240477904	25727.8885776196	25868.9690212144	26006.9282885063	38500.3986513709	30687.7287724887	31386.0503006678	32619.4670502223	20566.5308258998	26442.1310876304	26182.5652349175	27047.310698552	19028.8619617802	29956.1149277482
56166.1709091846	62116.9146247542	66764.3588428524	65322.9378912113	71364.1987750245	52395.2996965877	75014.3015142009	66969.384785416	68573.2436628651	67879.6568309217	73705.6355829475	71057.9223674082	65874.1691476236	71939.9381898807	62374.7750290597	63297.8713225653	63068.5061444148	66993.46940902	60018.5347313752	66766.2084292256
11222.9698594066	18706.6471125453	19736.4690303527	26309.8585199928	28697.2950879795	5044.5805195805	34934.934931237	26422.3080928997	29574.3957565898	27877.9358027534	41884.8269870952	33043.8317020596	34984.3116377904	36586.0719972598	24910.6394879047	30699.527890869	30739.2084384871	35579.876907778	24648.5880115506	37231.1190929474
39980.8469902376	61410.6863033473	51046.1436908389	58575.0788481803	58001.342908519	37040.4254331456	57050.2385962443	48580.3520315914	51890.6092570105	47024.0641276046	59244.7532353611	51132.8681610382	52369.9145846813	53711.0724794553	46661.4941545606	47282.7360121435	49444.3906066959	48745.9608709791	45540.2926972375	51663.2805389776
176242.494857198	154885.138223693	189411.881872087	169437.545480243	161417.635688247	179293.304917356	162110.320426812	170815.457262228	147987.835715839	173994.327782103	165838.396328238	173978.551371196	166830.29647025	181519.858550945	190774.280569393	182035.197817542	186227.037615597	182532.255029856	207319.612286641	188624.893490598
491974.401376865	476142.801298977	512301.552653718	468312.347816486	547551.704835946	628718.447349055	574449.779447923	603679.263584507	647441.647362272	771104.746073875	739062.194611378	844957.449376776	881943.785867401	970944.809977271	1200716.25246146	1108621.91476577	1210851.35000662	1278535.27042663	1260456.70420431	1290821.68803323
34596.318357754	49852.9874758632	39870.8936032292	50790.187458916	51183.7780172679	31755.405788743	53699.8463700006	47557.2250230658	51572.4338501011	53279.698629041	62721.0968900931	55866.8523908837	60305.6449077176	62500.6414235578	61594.1239996299	57308.786728349	58636.0533352864	60618.3974218231	58906.8225881607	60777.2568098051
7105.59045173459	14697.746389067	16201.1722824135	23328.5778916155	24622.1768075138	1720.96004743567	30313.0482650256	24112.9875898467	24783.1573200692	23611.7207221756	36885.4809536716	28377.085342536	29480.7400156065	30821.3498271752	18995.6889713704	24042.14668163	24464.5437217237	25102.4279487708	17343.9213065147	27901.0993367486
6353.64983599448	15045.8973780229	15898.1285484919	23049.9734445693	24257.3222820263	1444.75148848046	30039.9008503472	23830.2685529824	24936.2184236859	23931.090835491	37628.5902441004	28980.9038977534	29767.0551427915	31798.2916873061	21344.8010583939	25984.5392853803	27538.6252394962	27802.672704665	20836.7679196607	30962.2554085077
